SNP	Chromosome	GeneticDistance	Position	Pvalue	Qvalue	N	NullLogLike	AltLogLike	SNPWeight	SNPWeightSE	OddsRatio	WaldStat	heritability	NullGeneticVar	NullResidualVar	NullBias
COG1719	26	0.000000	34	6.3833943670961056E-04	7.9537093814017479E-01	1338	-1.8476403647968627E+03	-1.8452604339220561E+03	-1.9147523316741283E-01	5.5939708833207452E-02	7.8563880927781349E-01	1.1716146972964745E+01	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG2392	26	0.000000	707	1.8700314275433797E-03	8.1124185457207021E-01	1338	-1.8476403647968627E+03	-1.8448707813660717E+03	1.6590576504843083E-01	5.3237105812772106E-02	1.2752047775299606E+00	9.7116736564204089E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG1705	26	0.000000	20	1.9532307894993663E-03	8.1124185457207021E-01	1338	-1.8476403647968627E+03	-1.8462763977931725E+03	-1.4001406142372738E-01	4.5116291238831617E-02	8.1372049799271973E-01	9.6311140110421256E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG2896	26	0.000000	1211	3.3314640658617428E-03	9.5259380030003615E-01	1338	-1.8476403647968627E+03	-1.8459315880096985E+03	9.0655073889680526E-02	3.0828092024993446E-02	1.2178101719662944E+00	8.6475073331768648E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG2911	26	0.000000	1226	4.3475490307679672E-03	9.5259380030003615E-01	1338	-1.8476403647968627E+03	-1.8456799540061768E+03	-1.4033465487853414E-01	4.9125448659490825E-02	7.3274139068399857E-01	8.1605006232497743E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG2452	26	0.000000	767	5.1746985486835224E-03	9.5259380030003615E-01	1338	-1.8476403647968627E+03	-1.8463092621786504E+03	8.9955191496149112E-02	3.2120282078524444E-02	1.1546833290469365E+00	7.8432085624036860E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG2331	26	0.000000	646	7.0976873208345613E-03	9.5259380030003615E-01	1338	-1.8476403647968627E+03	-1.8463740910766901E+03	-1.0158121516108756E-01	3.7673083632416816E-02	8.7014790318532487E-01	7.2705031693680553E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG2906	26	0.000000	1221	9.1453620971079525E-03	9.5259380030003615E-01	1338	-1.8476403647968627E+03	-1.8463334242761039E+03	-1.3104799375034837E-01	5.0202673205610490E-02	7.4938482181807209E-01	6.8140774702438565E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG1859	26	0.000000	174	1.2312409571496145E-02	9.5259380030003615E-01	1338	-1.8476403647968627E+03	-1.8467634836371792E+03	-1.0953714358698606E-01	4.3701774553105130E-02	8.9583830463209735E-01	6.2823868966704630E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG2438	26	0.000000	753	1.4010248525239423E-02	9.5259380030003615E-01	1338	-1.8476403647968627E+03	-1.8469999707204411E+03	9.1284129018060114E-02	3.7103751439774166E-02	1.1542170562308696E+00	6.0527802708980838E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
COG2868	26	0.000000	1183	1.5817985128825228E-02	9.5259380030003615E-01	1338	-1.8476403647968627E+03	-1.8470559871213513E+03	-9.4108916877817278E-02	3.8949576967504750E-02	8.1903197931787308E-01	5.8378920462634909E+00	1.6733034423364715E-01	1.7720627682793380E-01	8.8181429496086661E-01	4.4971888606232847E-15
