SNP	Chromosome	GeneticDistance	Position	Pvalue	Qvalue	N	NullLogLike	AltLogLike	SNPWeight	SNPWeightSE	OddsRatio	WaldStat	heritability	NullGeneticVar	NullResidualVar	NullBias
COG2063	26	0.000000	378	1.3870762344114124E-08	1.7282969880766199E-05	1338	-8.8193353861016203E+02	-8.6922062232925748E+02	9.0927959375156853E-02	1.5923142143463440E-02	1.1080579524803580E+00	3.2608989830368564E+01	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1781	26	0.000000	96	1.2870970789606865E-07	8.0186148019250768E-05	1338	-8.8193353861016203E+02	-8.7414961842899311E+02	-1.4635554686703436E-01	2.7565618548371529E-02	8.6050800290653751E-01	2.8189208989454833E+01	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1705	26	0.000000	20	3.5651496795725345E-07	1.4807255002491259E-04	1338	-8.8193353861016203E+02	-8.7513937423614504E+02	-9.5410041045815394E-02	1.8647245392507138E-02	8.6895040131116441E-01	2.6179346015008463E+01	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1719	26	0.000000	34	3.1849917532055412E-05	9.9212493112352616E-03	1338	-8.8193353861016203E+02	-8.7759586873504770E+02	-1.0245313795298652E-01	2.4544901174035395E-02	8.7889433890053426E-01	1.7423201269136612E+01	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2822	26	0.000000	1137	1.4542712184292901E-03	2.0802124597612159E-01	1338	-8.8193353861016203E+02	-8.8023077847630839E+02	-4.3781926581531370E-02	1.3723434714066701E-02	9.1460535473929072E-01	1.0178038645105723E+01	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2873	26	0.000000	1188	1.6613442248258913E-03	2.0802124597612159E-01	1338	-8.8193353861016203E+02	-8.8036736520832187E+02	-4.6747800155476762E-02	1.4834274520714535E-02	9.0505496220602222E-01	9.9309257331466014E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2898	26	0.000000	1213	2.0034148890156174E-03	2.0802124597612159E-01	1338	-8.8193353861016203E+02	-8.8092375081424211E+02	-5.3631264908847787E-02	1.7323687549165627E-02	8.8930472583513342E-01	9.5841895811822884E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2900	26	0.000000	1215	2.0034148890156174E-03	2.0802124597612159E-01	1338	-8.8193353861016203E+02	-8.8092375081424211E+02	-5.3631264908847787E-02	1.7323687549165627E-02	8.8930472583513342E-01	9.5841895811822884E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2901	26	0.000000	1216	2.0034148890156174E-03	2.0802124597612159E-01	1338	-8.8193353861016203E+02	-8.8092375081424211E+02	-5.3631264908847787E-02	1.7323687549165627E-02	8.8930472583513342E-01	9.5841895811822884E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2902	26	0.000000	1217	2.0034148890156174E-03	2.0802124597612159E-01	1338	-8.8193353861016203E+02	-8.8092375081424211E+02	-5.3631264908847787E-02	1.7323687549165627E-02	8.8930472583513342E-01	9.5841895811822884E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2903	26	0.000000	1218	2.0034148890156174E-03	2.0802124597612159E-01	1338	-8.8193353861016203E+02	-8.8092375081424211E+02	-5.3631264908847787E-02	1.7323687549165627E-02	8.8930472583513342E-01	9.5841895811822884E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2904	26	0.000000	1219	2.0034148890156174E-03	2.0802124597612159E-01	1338	-8.8193353861016203E+02	-8.8092375081424211E+02	-5.3631264908847787E-02	1.7323687549165627E-02	8.8930472583513342E-01	9.5841895811822884E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2798	26	0.000000	1113	2.8568582377156166E-03	2.4776529767768837E-01	1338	-8.8193353861016203E+02	-8.8102473357155793E+02	-5.4223165209287105E-02	1.8145351183767689E-02	8.9690846361151133E-01	8.9297433072488719E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1843	26	0.000000	158	3.6415723145370249E-03	2.4776529767768837E-01	1338	-8.8193353861016203E+02	-8.8034343411432906E+02	-9.4802293653876143E-02	3.2546778123852302E-02	9.0945393423076160E-01	8.4844107015942321E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2806	26	0.000000	1121	3.9556930158009748E-03	2.4776529767768837E-01	1338	-8.8193353861016203E+02	-8.8129973410800233E+02	-5.3088999190863982E-02	1.8390903979934689E-02	8.9793551292617768E-01	8.3330295667099854E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2808	26	0.000000	1123	3.9556930158009748E-03	2.4776529767768837E-01	1338	-8.8193353861016203E+02	-8.8129973410800233E+02	-5.3088999190863982E-02	1.8390903979934689E-02	8.9793551292617768E-01	8.3330295667099854E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2810	26	0.000000	1125	3.9556930158009748E-03	2.4776529767768837E-01	1338	-8.8193353861016203E+02	-8.8129973410800233E+02	-5.3088999190863982E-02	1.8390903979934689E-02	8.9793551292617768E-01	8.3330295667099854E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2811	26	0.000000	1126	3.9556930158009748E-03	2.4776529767768837E-01	1338	-8.8193353861016203E+02	-8.8129973410800233E+02	-5.3088999190863982E-02	1.8390903979934689E-02	8.9793551292617768E-01	8.3330295667099854E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2812	26	0.000000	1127	3.9556930158009748E-03	2.4776529767768837E-01	1338	-8.8193353861016203E+02	-8.8129973410800233E+02	-5.3088999190863982E-02	1.8390903979934689E-02	8.9793551292617768E-01	8.3330295667099854E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1968	26	0.000000	283	3.9769710702678715E-03	2.4776529767768837E-01	1338	-8.8193353861016203E+02	-8.8037104033826211E+02	1.0619035925725603E-01	3.6807755846123370E-02	1.1154766932021554E+00	8.3232224355859632E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1731	26	0.000000	46	4.4123088975129357E-03	2.6179699458576750E-01	1338	-8.8193353861016203E+02	-8.8090978015967005E+02	8.8195851552379176E-02	3.0924937960760651E-02	1.1125233401139627E+00	8.1335219211725676E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2331	26	0.000000	646	5.4228551799270913E-03	3.0713079791768894E-01	1338	-8.8193353861016203E+02	-8.8119618633866401E+02	-4.8752548452340401E-02	1.7503325811599111E-02	9.3542399070126470E-01	7.7580663818288054E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1847	26	0.000000	162	6.8682566000059604E-03	3.7208033580901856E-01	1338	-8.8193353861016203E+02	-8.8103217374181713E+02	-8.0673796968359329E-02	2.9797808703510915E-02	9.2245787142128866E-01	7.3298711460989843E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2877	26	0.000000	1192	8.5390006204159024E-03	4.4331644887659222E-01	1338	-8.8193353861016203E+02	-8.8187812707009130E+02	3.5981892846926038E-02	1.3661168188359874E-02	1.0803137981857152E+00	6.9373297074266285E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2905	26	0.000000	1220	1.4914133420872751E-02	7.4332040969629787E-01	1338	-8.8193353861016203E+02	-8.8223972303173218E+02	-3.7457801349951074E-02	1.5366567182002062E-02	9.2133018418414603E-01	5.9419753555088368E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2682	26	0.000000	997	1.5998820655712703E-02	7.6671271296223176E-01	1338	-8.8193353861016203E+02	-8.8238201546360881E+02	-3.3662769603943807E-02	1.3956298127177115E-02	9.3854366243805043E-01	5.8178057060848678E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2612	26	0.000000	927	2.4968085081365044E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8277734164054789E+02	-3.1120711477100476E-02	1.3865771658506313E-02	9.4514715352128087E-01	5.0374522963985138E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2427	26	0.000000	742	2.5136938441163881E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8242293166367915E+02	4.4720399956221693E-02	1.9948303316884436E-02	1.0698103843702851E+00	5.0257332256387990E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
